   0.00959,  -0.01477,  -0.10115,   0.08268,  -0.08786,   0.05610,   0.08932,  -0.06571,   0.08932,   0.06275
   0.01180,   0.10704,  -0.11444,  -0.03692,   0.03838,  -0.07900,   0.04060,  -0.02806,   0.03395,   0.11812
   0.07604,  -0.01699,  -0.11001,   0.07382,   0.06053,   0.04946,   0.08932,   0.06718,  -0.07457,   0.06939
   0.16684,  -0.18753,  -0.05243,   0.10040,  -0.10558,   0.03838,   0.10261,  -0.01920,  -0.10780,   0.03838
   0.02288,  -0.03028,  -0.00370,  -0.05021,   0.02509,  -0.09451,   0.06496,  -0.11887,   0.10483,   0.09597
   0.10483,  -0.18532,   0.11147,   0.01402,   0.08711,  -0.14102,  -0.06793,   0.14248,   0.15798,   0.06718
  -0.02585,  -0.05021,  -0.06793,   0.03395,  -0.11001,  -0.07900,  -0.08343,   0.06939,  -0.05021,   0.09597
   0.06053,  -0.07900,   0.02952,  -0.08565,   0.08932,   0.06718,  -0.01477,  -0.06350,   0.00959,   0.04281
   0.06275,   0.16684,  -0.11887,   0.00516,   0.02288,   0.14691,  -0.14766,  -0.10558,   0.09375,  -0.10115
  -0.07236,  -0.04578,  -0.24512,  -0.15652,   0.11369,  -0.06571,  -0.15652,   0.14913,  -0.12330,  -0.01256
   0.10483,   0.13584,  -0.08565,  -0.20747,   0.13584,  -0.03692,   0.16241,  -0.24955,  -0.01034,   0.22443
  -0.15874,   0.02288,  -0.07014,   0.00738,  -0.05464,   0.10040,   0.15577,  -0.16760,   0.13584,  -0.14323
   0.04281,  -0.17646,  -0.12330,  -0.09672,  -0.08122,   0.02731,   0.15798,   0.06275,  -0.12109,   0.01845
  -0.01477,   0.01180,   0.10261,  -0.01256,   0.10704,  -0.03914,  -0.01699,   0.02952,  -0.07679,   0.02066
  -0.27170,   0.15356,  -0.03692,  -0.19196,   0.13805,  -0.05907,  -0.03692,   0.21779,  -0.10558,  -0.13216
   0.06718,   0.10926,  -0.07679,   0.09597,   0.01845,   0.07604,   0.04946,   0.08047,   0.02731,   0.10483
  -0.16538,  -0.05686,  -0.11223,  -0.11444,   0.01180,   0.03838,   0.10926,   0.04503,   0.10261,   0.16684
  -0.04135,  -0.04578,  -0.09672,   0.03838,   0.06053,  -0.06129,   0.01623,   0.03838,   0.10483,  -0.09008
  -0.17424,   0.04724,   0.15356,  -0.05243,  -0.07679,   0.02731,  -0.12330,   0.13362,  -0.07014,   0.16241
  -0.18532,  -0.10115,   0.09597,   0.17349,  -0.11887,   0.18899,  -0.21411,   0.16906,   0.06496,  -0.08565
   0.08711,  -0.02585,   0.01623,  -0.05243,  -0.05907,  -0.09894,   0.06275,  -0.13216,  -0.10337,   0.11812
   0.02731,   0.08268,   0.13362,  -0.08122,   0.15577,  -0.24955,  -0.19418,   0.10483,  -0.06571,   0.05832
   0.00073,  -0.01477,  -0.05907,  -0.02363,   0.08489,   0.00516,   0.05389,  -0.00813,   0.04946,  -0.03249
   0.06275,   0.02952,  -0.20082,   0.16241,  -0.07900,   0.09597,  -0.17424,   0.04060,   0.02288,  -0.05686
   0.11369,  -0.05907,   0.08932,  -0.03028,   0.10926,  -0.01699,  -0.07236,  -0.09451,  -0.06129,   0.09597
   0.00516,   0.05389,   0.02731,   0.01845,   0.09597,  -0.11666,   0.10926,   0.00738,   0.06496,   0.08489
  -0.00591,  -0.13659,   0.06496,   0.13362,   0.03174,  -0.18753,  -0.21411,  -0.04578,   0.14470,   0.16241
   0.12476,  -0.17646,  -0.04357,  -0.02585,  -0.22961,  -0.06793,   0.11369,  -0.16760,   0.13362,  -0.16538
   0.13805,   0.13805,  -0.03471,  -0.01477,  -0.19196,  -0.16981,   0.13584,   0.13584,   0.10704,  -0.03249
  -0.22297,   0.03617,  -0.27170,   0.25765,  -0.01920,   0.06496,   0.02952,  -0.21411,  -0.01920,   0.09597
  -0.20968,  -0.16538,  -0.05907,  -0.00813,   0.16684,   0.14913,   0.02952,   0.08489,   0.12255,   0.11147
   0.00516,  -0.08786,  -0.05243,  -0.09008,  -0.00370,   0.06053,   0.02509,  -0.09008,  -0.12330,  -0.10337
   0.04724,   0.04946,  -0.02585,  -0.03914,  -0.15209,   0.09154,   0.10040,  -0.16760,  -0.07900,   0.11590
  -0.01699,   0.08489,   0.10926,  -0.01256,  -0.08343,  -0.09451,   0.11147,  -0.05243,   0.11590,  -0.06571
  -0.01920,   0.12255,   0.15798,   0.14027,  -0.17424,  -0.07679,  -0.05243,   0.14913,  -0.12995,  -0.30713
   0.12033,   0.05389,  -0.00591,  -0.24290,   0.06496,  -0.04135,   0.10040,   0.25544,  -0.10780,  -0.11887
   0.09154,  -0.23183,   0.06053,   0.10704,  -0.14545,  -0.07236,   0.15134,  -0.09894,   0.09597,  -0.01256
  -0.12773,   0.12698,   0.03174,   0.18899,  -0.20304,  -0.02585,  -0.25841,   0.10483,  -0.07236,   0.14470
  -0.06129,   0.06496,   0.10483,  -0.05021,  -0.19861,  -0.08565,   0.25101,   0.10704,   0.17570,  -0.15209
   0.02952,  -0.24955,  -0.01256,   0.16684,   0.10040,  -0.03249,   0.05389,  -0.19861,   0.06275,   0.05389
   0.15577,   0.19121,  -0.01256,  -0.03914,  -0.00813,   0.09375,  -0.05686,   0.16020,  -0.11444,  -0.12773
   0.11812,   0.05389,   0.17349,   0.07161,   0.06496,  -0.10115,  -0.05021,  -0.17646,  -0.11001,   0.07161
   0.14470,  -0.03249,   0.13362,   0.03174,  -0.28498,  -0.09894,  -0.12995,   0.05832,   0.09154,   0.04281
   0.06053,  -0.00591,  -0.02363,  -0.02363,  -0.04135,  -0.01477,   0.10483,  -0.00148,   0.01180,   0.11369
   0.03617,   0.04946,  -0.12109,   0.12033,  -0.09229,   0.07825,  -0.01034,  -0.02806,   0.07161,   0.07382
   0.09154,   0.09154,   0.11147,   0.09597,  -0.04135,   0.07604,   0.11369,  -0.03028,   0.02509,  -0.21854
  -0.05021,  -0.03692,   0.05610,  -0.06129,  -0.04357,  -0.06350,  -0.07014,   0.08489,   0.01180,   0.10040
  -0.09672,   0.02731,  -0.06129,  -0.03028,   0.08932,  -0.00148,  -0.00370,   0.08932,  -0.10115,   0.12033
   0.01623,   0.01402,  -0.05686,  -0.07457,   0.05832,   0.07161,   0.07382,   0.07161,  -0.04800,   0.03617
  -0.03471,   0.04060,   0.01180,  -0.08343,  -0.08786,  -0.02585,   0.03174,   0.00516,  -0.08565,  -0.09451
