  -0.21098,   0.08044,  -0.07457,  -0.05287,  -0.03737,  -0.07147,   0.08044,  -0.01567,  -0.18308,  -0.02497,  -0.18928,   0.15174,   0.08974,  -0.14277,  -0.01877,   0.21064
  -0.34738,   0.06804,  -0.17067,   0.03703,  -0.01567,   0.02773,   0.21064,  -0.17377,   0.08354,  -0.25128,  -0.18618,   0.06494,   0.27265,  -0.02807,   0.01843,   0.05254
  -0.10557,  -0.01257,   0.02153,  -0.05287,   0.07734,   0.04944,  -0.05287,   0.21064,   0.10834,  -0.13967,   0.20754,   0.05564,   0.17344,   0.02463,  -0.06837,  -0.00327
  -0.22648,   0.09284,  -0.00017,  -0.20168,  -0.06217,  -0.13347,   0.10214,   0.08044,   0.07114,  -0.06527,  -0.17998,  -0.05597,   0.29125,  -0.09937,   0.13934,   0.20444
  -0.19548,  -0.00637,   0.05254,  -0.44039,   0.16104,  -0.13347,  -0.09627,  -0.31948,   0.05254,   0.35015,   0.13314,   0.08354,   0.15484,   0.04323,   0.24784,   0.12384
  -0.09317,  -0.11177,  -0.01567,  -0.10557,  -0.06837,   0.13624,  -0.04047,  -0.04357,   0.16724,   0.28505,   0.20754,   0.18894,   0.11144,   0.16724,   0.10834,  -0.00017
  -0.16757,  -0.08697,  -0.03427,   0.11144,   0.08044,   0.11144,  -0.15207,   0.06494,   0.17344,   0.24164,  -0.17067,   0.07734,   0.10214,  -0.13037,   0.05874,   0.20444
  -0.01877,  -0.09317,   0.12694,   0.33155,   0.10524,   0.02773,  -0.01567,  -0.03737,   0.00603,   0.31295,   0.00293,   0.01223,   0.02773,   0.01223,  -0.10557,  -0.01257
  -0.02497,  -0.32568,   0.07114,   0.25714,   0.06804,   0.07114,  -0.14277,   0.08044,   0.16104,   0.21064,  -0.00637,  -0.02807,  -0.29468,   0.04323,  -0.13347,   0.00913
   0.13934,   0.03083,   0.04323,  -0.05907,   0.04944,  -0.09317,  -0.07147,  -0.02807,   0.07114,  -0.09627,  -0.06527,  -0.11797,   0.08664,   0.14864,   0.22304,   0.00913
